# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'cycles'
# Event count (approx.): 41462566372
#
# Overhead  Command  Shared Object       Symbol                                                                                             
# ........  .......  ..................  ...................................................................................................
#
     0.02%  rate     [kernel.kallsyms]   [k] tcp_rearm_rto
     0.02%  rate     rate                [.] golang.org/x/net/http2.parseHeadersFrame
     0.02%  rate     [kernel.kallsyms]   [k] do_softirq.part.0
     0.02%  rate     [kernel.kallsyms]   [k] __x64_sys_read
     0.02%  rate     [kernel.kallsyms]   [k] update_dl_rq_load_avg
     0.02%  rate     rate                [.] github.com/rs/zerolog.consoleDefaultFormatTimestamp
     0.02%  rate     [kernel.kallsyms]   [k] prepend
     0.02%  rate     [kernel.kallsyms]   [k] cyc2ns_read_begin
     0.02%  rate     [kernel.kallsyms]   [k] __dec_node_page_state
     0.02%  rate     [kernel.kallsyms]   [k] schedule_hrtimeout_range_clock
     0.02%  rate     [kernel.kallsyms]   [k] inet_proto_csum_replace4
     0.02%  rate     rate                [.] runtime.gfput
     0.02%  rate     rate                [.] runtime.entersyscall_sysmon
     0.02%  rate     [kernel.kallsyms]   [k] hrtimer_wakeup
     0.02%  rate     rate                [.] reflect.Value.Addr
     0.02%  rate     [kernel.kallsyms]   [k] inet6_recvmsg
     0.02%  rate     rate                [.] runtime.strhash
     0.02%  rate     [kernel.kallsyms]   [k] ovl_path_real
     0.02%  rate     rate                [.] github.com/golang/protobuf/proto.getbase
     0.02%  rate     rate                [.] runtime.runqdrain
     0.02%  rate     [kernel.kallsyms]   [k] hash_conntrack_raw
     0.02%  rate     rate                [.] golang.org/x/net/http2.(*HeadersFrame).invalidate
     0.02%  rate     [kernel.kallsyms]   [k] vfs_getattr_nosec
     0.02%  rate     rate                [.] google.golang.org/grpc/transport.(*quotaPool).add
     0.02%  rate     [kernel.kallsyms]   [k] security_inode_permission
     0.02%  rate     rate                [.] fmt.(*ss).notEOF
     0.02%  rate     [kernel.kallsyms]   [k] tcp_send_delayed_ack
     0.02%  rate     [kernel.kallsyms]   [k] up_read
     0.02%  rate     rate                [.] runtime.(*mcache).nextFree
     0.02%  rate     [kernel.kallsyms]   [k] _raw_spin_unlock_bh
     0.02%  rate     [kernel.kallsyms]   [k] page_counter_cancel
     0.02%  rate     rate                [.] internal/poll.setDeadlineImpl
     0.02%  rate     rate                [.] runtime.saveAncestors
     0.02%  rate     rate                [.] reflect.resolveTypeOff
     0.02%  rate     rate                [.] sync.(*Mutex).lockSlow
     0.02%  rate     [kernel.kallsyms]   [k] ip_vs_out
     0.02%  rate     rate                [.] google.golang.org/grpc/transport.(*Stream).waitOnHeader
     0.02%  rate     [kernel.kallsyms]   [k] ovl_getattr
     0.02%  rate     [kernel.kallsyms]   [k] __napi_schedule
     0.02%  rate     [kernel.kallsyms]   [k] aa_label_next_confined
     0.02%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).adjustWindow
     0.02%  rate     [kernel.kallsyms]   [k] inet_ehashfn
     0.02%  rate     [kernel.kallsyms]   [k] x2apic_send_IPI
     0.02%  rate     rate                [.] reflect.Value.SetMapIndex
     0.02%  rate     rate                [.] reflect.Value.SetString
     0.02%  rate     rate                [.] runtime.(*Frames).Next
     0.02%  rate     [kernel.kallsyms]   [k] down_write_killable
     0.02%  rate     [kernel.kallsyms]   [k] mlx5e_poll_tx_cq
     0.02%  rate     rate                [.] runtime.memequal8
     0.02%  rate     [kernel.kallsyms]   [k] __vfs_write
     0.02%  rate     [kernel.kallsyms]   [k] __fpu__restore_sig
     0.02%  rate     rate                [.] type..eq.golang.org/x/net/http2/hpack.pairNameValue
     0.02%  rate     rate                [.] reflect.Value.Convert
     0.02%  rate     rate                [.] time.(*Location).get
     0.02%  rate     rate                [.] runtime.assertE2I
     0.02%  rate     rate                [.] gogo
     0.02%  rate     rate                [.] internal/poll.runtime_pollSetDeadline
     0.02%  rate     [kernel.kallsyms]   [k] do_tkill
     0.01%  rate     rate                [.] runtime.(*mcache).releaseAll
     0.01%  rate     [kernel.kallsyms]   [k] mntput
     0.01%  rate     [kernel.kallsyms]   [k] ip_finish_output
     0.01%  rate     [kernel.kallsyms]   [k] __unqueue_futex
     0.01%  rate     rate                [.] runtime.mapassign_fast32
     0.01%  rate     rate                [.] runtime.acquirep
     0.01%  rate     rate                [.] github.com/harlow/go-micro-services/services/rate/proto._Rate_GetRates_Handler
     0.01%  rate     [kernel.kallsyms]   [k] wakeup_preempt_entity.isra.0
     0.01%  rate     rate                [.] os.fillFileStatFromSys
     0.01%  rate     rate                [.] fmt.errorHandler
     0.01%  rate     rate                [.] runtime.sigtrampgo
     0.01%  rate     rate                [.] golang.org/x/net/http2/hpack.(*Decoder).parseHeaderFieldRepr
     0.01%  rate     rate                [.] encoding/json.(*Decoder).refill
     0.01%  rate     rate                [.] context.WithCancel.func1
     0.01%  rate     [kernel.kallsyms]   [k] __kthread_should_park
     0.01%  rate     [kernel.kallsyms]   [k] perf_event_sched_in
     0.01%  rate     rate                [.] runtime.wbBufFlush.func1
     0.01%  rate     [kernel.kallsyms]   [k] aa_may_signal
     0.01%  rate     [kernel.kallsyms]   [k] vxlan_gro_receive
     0.01%  rate     rate                [.] runtime.stackpoolalloc
     0.01%  rate     rate                [.] google.golang.org/grpc.(*parser).recvMsg
     0.01%  rate     [kernel.kallsyms]   [k] generic_permission
     0.01%  rate     rate                [.] strings.LastIndex
     0.01%  rate     [kernel.kallsyms]   [k] tcp_v4_fill_cb
     0.01%  rate     rate                [.] github.com/rs/zerolog.(*timestampHook).Run
     0.01%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders.func1
     0.01%  rate     [kernel.kallsyms]   [k] __radix_tree_lookup
     0.01%  rate     [kernel.kallsyms]   [k] vfs_getattr
     0.01%  rate     rate                [.] encoding/json.stateBeginStringOrEmpty
     0.01%  rate     rate                [.] google.golang.org/grpc/transport.(*quotaPool).compareAndExecute
     0.01%  rate     rate                [.] google.golang.org/grpc/transport.(*inFlow).onRead
     0.01%  rate     rate                [.] github.com/uber/jaeger-client-go.SpanIDFromString
     0.01%  rate     rate                [.] github.com/opentracing/opentracing-go.(*Tag).Apply
     0.01%  rate     rate                [.] runtime.callers
     0.01%  rate     [kernel.kallsyms]   [k] free_unref_page_list
     0.01%  rate     rate                [.] runtime.gcMarkDone.func1.1
     0.01%  rate     [kernel.kallsyms]   [k] tcp_newly_delivered
     0.01%  rate     [kernel.kallsyms]   [k] __mod_lruvec_state
     0.01%  rate     [kernel.kallsyms]   [k] task_ctx_sched_out
     0.01%  rate     rate                [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1
     0.01%  rate     rate                [.] sort.Search
     0.01%  rate     [kernel.kallsyms]   [k] ___slab_alloc
     0.01%  rate     rate                [.] github.com/apache/thrift/lib/go/thrift.(*TCompactProtocol).WriteI64
     0.01%  rate     [kernel.kallsyms]   [k] __dequeue_signal
     0.01%  rate     [kernel.kallsyms]   [k] iptable_filter_hook
     0.01%  rate     rate                [.] github.com/opentracing/opentracing-go.startSpanFromContextWithTracer
     0.01%  rate     rate                [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Extract.func1
     0.01%  rate     rate                [.] sync/atomic.CompareAndSwapUintptr
     0.01%  rate     rate                [.] runtime.entersyscall
     0.01%  rate     [kernel.kallsyms]   [k] release_pages
     0.01%  rate     [kernel.kallsyms]   [k] generic_smp_call_function_single_interrupt
     0.01%  rate     rate                [.] github.com/bradfitz/gomemcache/memcache.scanGetResponseLine
     0.01%  rate     rate                [.] internal/testlog.Getenv
     0.01%  rate     rate                [.] encoding/json.(*Decoder).tokenPrepareForDecode
     0.01%  rate     [kernel.kallsyms]   [k] tcp_wfree
     0.01%  rate     rate                [.] github.com/uber/jaeger-client-go.(*Tracer).reportSpan
     0.01%  rate     rate                [.] github.com/golang/protobuf/proto.(*Buffer).dec_slice_string
     0.01%  rate     [kernel.kallsyms]   [k] sk_forced_mem_schedule
     0.01%  rate     [kernel.kallsyms]   [k] __ip_finish_output
     0.01%  rate     rate                [.] reflect.name.name
     0.01%  rate     rate                [.] encoding/json.stateEndTop
     0.01%  rate     rate                [.] strings.Count
     0.01%  rate     [kernel.kallsyms]   [k] bictcp_cong_avoid
     0.01%  rate     [kernel.kallsyms]   [k] udp4_gro_receive
     0.01%  rate     [kernel.kallsyms]   [k] __nf_ct_refresh_acct
     0.01%  rate     rate                [.] github.com/golang/protobuf/proto.(*Buffer).enc_len_thing
     0.01%  rate     rate                [.] fmt.(*ss).getBase
     0.01%  rate     rate                [.] golang.org/x/net/http2.(*MetaHeadersFrame).PseudoFields
     0.01%  rate     rate                [.] net.(*TCPConn).SetDeadline
     0.01%  rate     rate                [.] runtime.exitsyscallfast_reacquired
     0.01%  rate     rate                [.] reflect.typedmemmove
     0.01%  rate     rate                [.] bytes.(*Buffer).WriteTo
     0.01%  rate     [kernel.kallsyms]   [k] __vfs_read
     0.01%  rate     [kernel.kallsyms]   [k] mlx5e_handle_rx_dim
     0.01%  rate     rate                [.] fmt.(*ss).scanInt
     0.01%  rate     [kernel.kallsyms]   [k] free_unref_page_prepare.part.0
     0.01%  rate     [kernel.kallsyms]   [k] __pagevec_lru_add_fn
     0.01%  rate     [kernel.kallsyms]   [k] perf_pmu_nop_void
     0.01%  rate     rate                [.] runtime.runtimer
     0.01%  rate     rate                [.] github.com/uber/jaeger-client-go.TraceIDFromString
     0.01%  rate     [kernel.kallsyms]   [k] lock_hrtimer_base
     0.01%  rate     [kernel.kallsyms]   [k] rcu_note_context_switch
     0.01%  rate     rate                [.] golang.org/x/net/http2/hpack.readVarInt
     0.01%  rate     [kernel.kallsyms]   [k] link_path_walk.part.0
     0.01%  rate     [kernel.kallsyms]   [k] br_validate_ipv4.isra.0
     0.01%  rate     [kernel.kallsyms]   [k] drain_stock.isra.0
     0.01%  rate     [kernel.kallsyms]   [k] tasklet_action_common.isra.0
     0.01%  rate     [kernel.kallsyms]   [k] get_mem_cgroup_from_mm
     0.01%  rate     rate                [.] google.golang.org/grpc.(*Server).traceInfo
     0.01%  rate     rate                [.] encoding/json.state0
     0.01%  rate     rate                [.] runtime.sendDirect
     0.01%  rate     rate                [.] internal/poll.(*FD).Write.dwrap.13
     0.01%  rate     rate                [.] math/rand.(*rngSource).Int63
     0.01%  rate     [kernel.kallsyms]   [k] ktime_get_ts64
     0.01%  rate     [kernel.kallsyms]   [k] check_stack_object
     0.01%  rate     rate                [.] runtime.funcfile
     0.01%  rate     rate                [.] os.Getwd
     0.01%  rate     rate                [.] github.com/rs/zerolog.consoleDefaultFormatCaller.func1
     0.01%  rate     [kernel.kallsyms]   [k] find_exception
     0.01%  rate     [kernel.kallsyms]   [k] irq_enter
     0.01%  rate     rate                [.] runtime.concatstring2
     0.01%  rate     [kernel.kallsyms]   [k] restore_nameidata
     0.01%  rate     [kernel.kallsyms]   [k] __msecs_to_jiffies
     0.01%  rate     [kernel.kallsyms]   [k] apparmor_inode_getattr
     0.01%  rate     rate                [.] fmt.(*readRune).UnreadRune
     0.01%  rate     [kernel.kallsyms]   [k] sk_filter_trim_cap
     0.01%  rate     rate                [.] github.com/golang/protobuf/proto.isProto3Zero
     0.01%  rate     [kernel.kallsyms]   [k] skb_clone
     0.01%  rate     rate                [.] github.com/uber/jaeger-client-go.buildReferences
     0.01%  rate     rate                [.] golang.org/x/net/http2.(*Framer).WriteWindowUpdate
     0.01%  rate     rate                [.] golang.org/x/net/http2.(*HeadersFrame).Header
     0.01%  rate     [kernel.kallsyms]   [k] mlx5e_completion_event
     0.01%  rate     [kernel.kallsyms]   [k] tlb_gather_mmu
     0.01%  rate     [kernel.kallsyms]   [k] aa_label_is_subset
     0.01%  rate     rate                [.] fmt.(*ss).convertString
     0.01%  rate     [kernel.kallsyms]   [k] br_allowed_ingress
     0.01%  rate     [kernel.kallsyms]   [k] do_signal
     0.01%  rate     rate                [.] golang.org/x/net/http2.(*Framer).WritePing
     0.01%  rate     rate                [.] internal/bytealg.Count.abi0
     0.01%  rate     [kernel.kallsyms]   [k] ip_send_check
     0.01%  rate     [kernel.kallsyms]   [k] wake_q_add_safe
     0.01%  rate     [kernel.kallsyms]   [k] perf_pmu_nop_int
     0.01%  rate     [kernel.kallsyms]   [k] cpus_share_cache
     0.01%  rate     [kernel.kallsyms]   [k] zap_page_range
     0.01%  rate     rate                [.] runtime.(*mspan).nextFreeIndex
     0.01%  rate     rate                [.] fmt.(*ss).free
     0.01%  rate     rate                [.] github.com/golang/protobuf/proto.mergeStruct
     0.01%  rate     [kernel.kallsyms]   [k] autoremove_wake_function
     0.01%  rate     rate                [.] google.golang.org/grpc/transport.(*inFlow).maybeAdjust
     0.01%  rate     [kernel.kallsyms]   [k] __sb_end_write
     0.01%  rate     [kernel.kallsyms]   [k] apparmor_socket_sendmsg
     0.01%  rate     rate                [.] github.com/uber/jaeger-client-go.(*compositeSpanObserver).OnSetTag
     0.01%  rate     rate                [.] fmt.newPrinter
     0.01%  rate     rate                [.] fmt.(*pp).free
     0.01%  rate     [kernel.kallsyms]   [k] lru_add_drain_cpu
     0.01%  rate     [kernel.kallsyms]   [k] __kfree_skb_flush
     0.01%  rate     [kernel.kallsyms]   [k] set_next_entity
     0.01%  rate     rate                [.] encoding/json.stateBeginString
     0.01%  rate     [kernel.kallsyms]   [k] set_next_buddy
     0.01%  rate     rate                [.] runtime.setg.abi0
     0.01%  rate     [kernel.kallsyms]   [k] retint_kernel
     0.01%  rate     [kernel.kallsyms]   [k] atime_needs_update
     0.01%  rate     [kernel.kallsyms]   [k] gro_normal_list.part.0
     0.01%  rate     [kernel.kallsyms]   [k] ttwu_do_activate
     0.01%  rate     rate                [.] google.golang.org/grpc/encoding/proto.codec.Marshal
     0.01%  rate     rate                [.] encoding/json.cachedTypeFields
     0.01%  rate     rate                [.] fmt.(*readRune).readByte
     0.01%  rate     [kernel.kallsyms]   [k] br_nf_pre_routing_finish
     0.01%  rate     rate                [.] sync.(*poolChain).popTail
     0.01%  rate     rate                [.] github.com/rs/zerolog.(*Event).Msgf
     0.01%  rate     rate                [.] runtime.bgscavenge
     0.01%  rate     rate                [.] runtime.morestack_noctxt.abi0
     0.01%  rate     [kernel.kallsyms]   [k] d_absolute_path
     0.01%  rate     rate                [.] internal/bytealg.CountString.abi0
     0.01%  rate     [kernel.kallsyms]   [k] lru_cache_add_active_or_unevictable
     0.01%  rate     [kernel.kallsyms]   [k] br_handle_vlan
     0.01%  rate     [kernel.kallsyms]   [k] sock_zerocopy_put
     0.01%  rate     rate                [.] runtime.execute
     0.01%  rate     [kernel.kallsyms]   [k] timespec64_add_safe
     0.01%  rate     [kernel.kallsyms]   [k] setup_pre_routing
     0.01%  rate     [kernel.kallsyms]   [k] vmacache_find
     0.01%  rate     [kernel.kallsyms]   [k] tcp_send_mss
     0.01%  rate     [kernel.kallsyms]   [k] br_dev_xmit
     0.01%  rate     rate                [.] github.com/bradfitz/gomemcache/memcache.(*Client).getFreeConn
     0.01%  rate     [kernel.kallsyms]   [k] __mod_node_page_state
     0.01%  rate     [kernel.kallsyms]   [k] __x64_sys_newfstatat
     0.01%  rate     rate                [.] github.com/golang/protobuf/proto.(*Buffer).DecodeRawBytes
     0.01%  rate     rate                [.] github.com/rs/zerolog.consoleDefaultFormatLevel.func1
     0.01%  rate     rate                [.] golang.org/x/net/http2.parsePingFrame
     0.01%  rate     [kernel.kallsyms]   [k] flush_smp_call_function_queue
     0.01%  rate     rate                [.] google.golang.org/grpc/transport.(*bdpEstimator).add
     0.01%  rate     [kernel.kallsyms]   [k] llist_reverse_order
     0.01%  rate     [kernel.kallsyms]   [k] __clear_user
     0.01%  rate     [kernel.kallsyms]   [k] mem_cgroup_commit_charge
     0.01%  rate     [kernel.kallsyms]   [k] br_forward_finish
     0.01%  rate     [kernel.kallsyms]   [k] get_sigframe.isra.0.constprop.0
     0.01%  rate     [kernel.kallsyms]   [k] iov_iter_init
     0.01%  rate     [kernel.kallsyms]   [k] perf_event_update_time
     0.01%  rate     [kernel.kallsyms]   [k] do_anonymous_page
     0.01%  rate     [kernel.kallsyms]   [k] native_read_msr
     0.01%  rate     rate                [.] runtime.futexwakeup
     0.01%  rate     rate                [.] runtime.typeBitsBulkBarrier
     0.01%  rate     [kernel.kallsyms]   [k] pipe_poll
     0.01%  rate     rate                [.] runtime.heapBits.forward
     0.01%  rate     rate                [.] time.tzset
     0.01%  rate     [kernel.kallsyms]   [k] netdev_core_pick_tx
     0.01%  rate     [kernel.kallsyms]   [k] ip_route_input_noref
     0.01%  rate     [kernel.kallsyms]   [k] __do_sys_madvise
     0.01%  rate     [kernel.kallsyms]   [k] __sigqueue_free.part.0
     0.01%  rate     [kernel.kallsyms]   [k] bictcp_acked
     0.01%  rate     rate                [.] github.com/rs/zerolog.consoleDefaultFormatCaller
     0.01%  rate     [kernel.kallsyms]   [k] userfaultfd_remove
     0.01%  rate     [kernel.kallsyms]   [k] pick_next_entity
     0.01%  rate     rate                [.] runtime.memhash64
     0.01%  rate     rate                [.] runtime.wbBufFlush
     0.01%  rate     rate                [.] reflect.(*structType).FieldByName
     0.01%  rate     [kernel.kallsyms]   [k] get_timespec64
     0.01%  rate     [kernel.kallsyms]   [k] iov_iter_advance
     0.01%  rate     [kernel.kallsyms]   [k] update_sd_lb_stats
     0.01%  rate     [kernel.kallsyms]   [k] page_remove_rmap
     0.01%  rate     [kernel.kallsyms]   [k] __sigqueue_alloc
     0.01%  rate     [kernel.kallsyms]   [k] tcp_rate_gen
     0.01%  rate     rate                [.] syscall.Getenv.dwrap.2
     0.01%  rate     rate                [.] runtime.(*pageAlloc).update
     0.01%  rate     [kernel.kallsyms]   [k] legitimize_links
     0.01%  rate     rate                [.] runtime.releasep
     0.01%  rate     rate                [.] github.com/rs/zerolog.(*Event).Timestamp
     0.01%  rate     [kernel.kallsyms]   [k] vfs_statx
     0.01%  rate     rate                [.] runtime.resetspinning
     0.01%  rate     rate                [.] google.golang.org/grpc/transport.(*inFlow).onData
     0.01%  rate     [kernel.kallsyms]   [k] get_task_policy.part.0
     0.01%  rate     [kernel.kallsyms]   [k] blk_start_plug
     0.01%  rate     [kernel.kallsyms]   [k] aa_compute_perms
     0.01%  rate     [kernel.kallsyms]   [k] __remove_hrtimer
     0.01%  rate     rate                [.] runtime.nilinterhash
     0.01%  rate     rate                [.] runtime.newproc.func1
     0.01%  rate     rate                [.] runtime.castogscanstatus
     0.01%  rate     [kernel.kallsyms]   [k] copy_page_from_iter
     0.01%  rate     [kernel.kallsyms]   [k] activate_task
     0.01%  rate     rate                [.] runtime.(*gcWork).tryGet
     0.01%  rate     [kernel.kallsyms]   [k] schedule_hrtimeout_range
     0.01%  rate     rate                [.] github.com/bradfitz/gomemcache/memcache.(*Client).putFreeConn
     0.01%  rate     [kernel.kallsyms]   [k] idle_cpu
     0.01%  rate     [kernel.kallsyms]   [k] fpstate_init
     0.01%  rate     [kernel.kallsyms]   [k] tcp_queue_rcv
     0.01%  rate     [kernel.kallsyms]   [k] blkcg_maybe_throttle_current
     0.01%  rate     rate                [.] runtime.stopTheWorldWithSema
     0.01%  rate     [kernel.kallsyms]   [k] getname_flags
     0.01%  rate     [kernel.kallsyms]   [k] __count_memcg_events
     0.01%  rate     rate                [.] fmt.(*fmt).truncateString
     0.01%  rate     [kernel.kallsyms]   [k] perf_event_idx_default
     0.01%  rate     rate                [.] github.com/rs/zerolog.callerHook.Run
     0.01%  rate     [kernel.kallsyms]   [k] __hrtimer_run_queues
     0.01%  rate     rate                [.] runtime.typehash
     0.01%  rate     [kernel.kallsyms]   [k] apparmor_socket_sock_rcv_skb
     0.01%  rate     rate                [.] github.com/bradfitz/gomemcache/memcache.(*Client).getFreeConn.dwrap.2
     0.01%  rate     rate                [.] google.golang.org/grpc/transport.(*bdpEstimator).calculate
     0.01%  rate     [kernel.kallsyms]   [k] inet_gro_receive
     0.01%  rate     [kernel.kallsyms]   [k] error_entry
     0.01%  rate     [kernel.kallsyms]   [k] eth_gro_receive
     0.01%  rate     [kernel.kallsyms]   [k] _copy_from_iter_full
     0.01%  rate     rate                [.] google.golang.org/grpc/transport.(*quotaPool).get
     0.01%  rate     [kernel.kallsyms]   [k] napi_schedule_prep
     0.01%  rate     [kernel.kallsyms]   [k] x2apic_send_IPI_mask
     0.01%  rate     rate                [.] encoding/json.stateInStringEsc
     0.01%  rate     rate                [.] golang.org/x/net/http2/hpack.(*Decoder).parseFieldLiteral
     0.01%  rate     [kernel.kallsyms]   [k] set_next_task_idle
     0.01%  rate     [kernel.kallsyms]   [k] hrtimer_try_to_cancel
     0.01%  rate     [kernel.kallsyms]   [k] uncharge_batch
     0.01%  rate     rate                [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1.dwrap.2
     0.01%  rate     rate                [.] fmt.(*ss).scanNumber
     0.01%  rate     rate                [.] runtime.convT64
     0.01%  rate     [kernel.kallsyms]   [k] prep_new_page
     0.01%  rate     [kernel.kallsyms]   [k] tcp_rate_check_app_limited
     0.01%  rate     rate                [.] runtime.sigtramp
     0.01%  rate     [kernel.kallsyms]   [k] mlx5_irq_int_handler
     0.01%  rate     [kernel.kallsyms]   [k] d_namespace_path.constprop.0
     0.01%  rate     [kernel.kallsyms]   [k] generic_fillattr
     0.01%  rate     rate                [.] context.propagateCancel
     0.01%  rate     rate                [.] golang.org/x/net/http2/hpack.(*Decoder).SetEmitFunc
     0.01%  rate     [kernel.kallsyms]   [k] __pm_relax
     0.01%  rate     [kernel.kallsyms]   [k] update_rt_rq_load_avg
     0.01%  rate     rate                [.] runtime.interequal
     0.01%  rate     [kernel.kallsyms]   [k] revert_creds
     0.01%  rate     rate                [.] runtime.scanstack
     0.01%  rate     rate                [.] runtime.deferreturn
     0.01%  rate     [kernel.kallsyms]   [k] tcp_check_space
     0.01%  rate     rate                [.] runtime.sysUnused
     0.01%  rate     [kernel.kallsyms]   [k] perf_event_set_state.part.0
     0.01%  rate     [kernel.kallsyms]   [k] __copy_skb_header
     0.01%  rate     [kernel.kallsyms]   [k] _copy_to_iter
     0.01%  rate     [kernel.kallsyms]   [k] minmax_subwin_update
     0.01%  rate     rate                [.] reflect.cvtBytesString
     0.01%  rate     [kernel.kallsyms]   [k] ns_to_timespec64
     0.01%  rate     rate                [.] time.tzsetOffset
     0.01%  rate     [kernel.kallsyms]   [k] udp4_lib_lookup2
     0.01%  rate     rate                [.] runtime.nilinterequal
     0.01%  rate     [kernel.kallsyms]   [k] mem_cgroup_try_charge_delay
     0.01%  rate     rate                [.] golang.org/x/net/http2.parseDataFrame
     0.01%  rate     [kernel.kallsyms]   [k] ip_queue_xmit
     0.01%  rate     [kernel.kallsyms]   [k] try_charge
     0.01%  rate     [kernel.kallsyms]   [k] hrtimer_reprogram
     0.01%  rate     [kernel.kallsyms]   [k] nf_ip_checksum
     0.01%  rate     [kernel.kallsyms]   [k] nf_nat_ipv4_out
     0.01%  rate     rate                [.] runtime.(*gcWork).putBatch
     0.01%  rate     rate                [.] google.golang.org/grpc/encoding/proto.marshal
     0.01%  rate     [kernel.kallsyms]   [k] ktime_get_coarse_real_ts64
     0.01%  rate     rate                [.] google.golang.org/grpc/transport.(*quotaPool).add.dwrap.2
     0.01%  rate     [kernel.kallsyms]   [k] tcp_sendmsg
     0.01%  rate     [kernel.kallsyms]   [k] br_fdb_find_rcu
     0.01%  rate     [kernel.kallsyms]   [k] tcp_rack_advance
     0.01%  rate     rate                [.] github.com/golang/protobuf/proto.(*Buffer).DecodeVarint
     0.01%  rate     [kernel.kallsyms]   [k] copyin
     0.01%  rate     [kernel.kallsyms]   [k] pipe_read
     0.01%  rate     rate                [.] github.com/bradfitz/gomemcache/memcache.(*Client).withAddrRw
     0.01%  rate     rate                [.] runtime.mapaccess1_fast32
     0.01%  rate     rate                [.] reflect.(*rtype).Implements
     0.01%  rate     [kernel.kallsyms]   [k] irq_chip_ack_parent
     0.01%  rate     rate                [.] reflect.Value.String
     0.01%  rate     rate                [.] fmt.(*buffer).writeRune
     0.01%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).updateWindow.dwrap.20
     0.01%  rate     rate                [.] github.com/uber/jaeger-client-go.(*compositeSpanObserver).OnFinish
     0.01%  rate     rate                [.] runtime.typedslicecopy
     0.01%  rate     [kernel.kallsyms]   [k] tcp_send_ack
     0.01%  rate     rate                [.] runtime.chansend.func1
     0.01%  rate     rate                [.] runtime.gcFlushBgCredit
     0.01%  rate     [kernel.kallsyms]   [k] unmap_page_range
     0.01%  rate     rate                [.] golang.org/x/net/http2/hpack.(*headerFieldTable).idToIndex
     0.01%  rate     [kernel.kallsyms]   [k] rmqueue
     0.01%  rate     rate                [.] sync.runtime_canSpin
     0.01%  rate     [kernel.kallsyms]   [k] enqueue_timer
     0.01%  rate     [kernel.kallsyms]   [k] __kfree_skb
     0.01%  rate     rate                [.] runtime.heapBits.initSpan
     0.01%  rate     rate                [.] runtime.(*spanSetBlockAlloc).alloc
     0.01%  rate     rate                [.] github.com/bradfitz/gomemcache/memcache.(*staticAddr).String
     0.01%  rate     [kernel.kallsyms]   [k] skb_pull
     0.01%  rate     [kernel.kallsyms]   [k] notifier_call_chain
     0.01%  rate     rate                [.] reflect.(*rtype).common
     0.01%  rate     rate                [.] runtime.(*pageCache).allocN
     0.01%  rate     rate                [.] runtime.mput
     0.01%  rate     [kernel.kallsyms]   [k] irq_work_run_list
     0.01%  rate     rate                [.] github.com/bradfitz/gomemcache/memcache.(*Client).GetMulti.func2
     0.01%  rate     [kernel.kallsyms]   [k] simple_copy_to_iter
     0.01%  rate     [kernel.kallsyms]   [k] mlx5e_poll_ico_cq
     0.01%  rate     rate                [.] runtime.doSigPreempt
     0.01%  rate     [kernel.kallsyms]   [k] sync_mm_rss
     0.01%  rate     rate                [.] runtime.(*gcWork).dispose
     0.01%  rate     [kernel.kallsyms]   [k] __tcp_send_ack.part.0
     0.01%  rate     [kernel.kallsyms]   [k] ktime_get_seconds
     0.01%  rate     [kernel.kallsyms]   [k] inet_sendmsg
     0.01%  rate     [kernel.kallsyms]   [k] page_counter_try_charge
     0.01%  rate     rate                [.] runtime.(*mheap).alloc
     0.01%  rate     [kernel.kallsyms]   [k] dev_gro_receive
     0.01%  rate     [kernel.kallsyms]   [k] native_send_call_func_ipi
     0.01%  rate     [kernel.kallsyms]   [k] perf_pmu_nop_txn
     0.01%  rate     [kernel.kallsyms]   [k] timerqueue_del
     0.01%  rate     rate                [.] reflect.Value.Index
     0.01%  rate     rate                [.] runtime.(*pallocData).findScavengeCandidate
     0.01%  rate     rate                [.] gosave_systemstack_switch
     0.01%  rate     rate                [.] runtime.(*stackScanState).getPtr
     0.01%  rate     [kernel.kallsyms]   [k] __usecs_to_jiffies
     0.01%  rate     rate                [.] google.golang.org/grpc/transport.(*quotaPool).lockedAdd
     0.01%  rate     [kernel.kallsyms]   [k] nf_nat_ipv4_manip_pkt
     0.01%  rate     [kernel.kallsyms]   [k] ksize
     0.01%  rate     rate                [.] github.com/uber/jaeger-client-go.ContextFromString
     0.01%  rate     [kernel.kallsyms]   [k] security_inode_getattr
     0.01%  rate     [kernel.kallsyms]   [k] skb_csum_hwoffload_help
     0.01%  rate     rate                [.] github.com/harlow/go-micro-services/services/rate/proto.(*Request).Reset
     0.01%  rate     rate                [.] github.com/uber/jaeger-client-go/thrift-gen/jaeger.(*Tag).writeField6
     0.01%  rate     [kernel.kallsyms]   [k] timestamp_truncate
     0.01%  rate     rate                [.] github.com/rs/zerolog.ParseLevel
     0.01%  rate     [kernel.kallsyms]   [k] handle_irq_event_percpu
