# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 30K of event 'cycles'
# Event count (approx.): 42137420497
#
# Overhead  Command      Shared Object       Symbol                                                                                                         
# ........  ...........  ..................  ...............................................................................................................
#
     0.02%  reservation  [kernel.kallsyms]   [k] tcp_v4_inbound_md5_hash
     0.02%  reservation  [kernel.kallsyms]   [k] ksys_write
     0.02%  reservation  [kernel.kallsyms]   [k] atomic_notifier_call_chain
     0.02%  reservation  reservation         [.] context.(*valueCtx).Done
     0.02%  reservation  reservation         [.] runtime.(*gcControllerState).revise
     0.02%  reservation  reservation         [.] google.golang.org/grpc/transport.(*http2Server).adjustWindow
     0.02%  reservation  reservation         [.] runtime.goexit1.abi0
     0.02%  reservation  [kernel.kallsyms]   [k] siphash_3u32
     0.02%  reservation  [kernel.kallsyms]   [k] perf_event_update_time
     0.02%  reservation  reservation         [.] google.golang.org/grpc/transport.(*recvBuffer).put
     0.02%  reservation  reservation         [.] runtime.(*stackScanState).getPtr
     0.02%  reservation  reservation         [.] reflect.Value.Type
     0.02%  reservation  reservation         [.] github.com/uber/jaeger-client-go.(*Span).FinishWithOptions
     0.02%  reservation  [kernel.kallsyms]   [k] encap_bypass_if_local
     0.02%  reservation  reservation         [.] google.golang.org/grpc.(*Server).serveStreams.func1.1
     0.02%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.(*conn).condRelease
     0.02%  reservation  [kernel.kallsyms]   [k] add_interrupt_randomness
     0.02%  reservation  reservation         [.] runtime.memequal8
     0.02%  reservation  [kernel.kallsyms]   [k] irq_chip_ack_parent
     0.02%  reservation  reservation         [.] sync/atomic.(*Value).Store
     0.02%  reservation  [kernel.kallsyms]   [k] mlx5_vxlan_lookup_port
     0.02%  reservation  reservation         [.] strings.Count
     0.02%  reservation  [kernel.kallsyms]   [k] tick_program_event
     0.02%  reservation  reservation         [.] runtime.(*spanSet).reset
     0.02%  reservation  [kernel.kallsyms]   [k] kill_fasync
     0.02%  reservation  reservation         [.] reflect.convertOp
     0.02%  reservation  [kernel.kallsyms]   [k] vxlan_vs_find_vni
     0.02%  reservation  reservation         [.] runtime.save
     0.02%  reservation  reservation         [.] golang.org/x/net/http2/hpack.(*Decoder).parseHeaderFieldRepr
     0.02%  reservation  reservation         [.] runtime.assertE2I
     0.02%  reservation  [kernel.kallsyms]   [k] tcp_rcv_space_adjust
     0.02%  reservation  [kernel.kallsyms]   [k] mlx5_eq_cq_get
     0.02%  reservation  [kernel.kallsyms]   [k] _raw_read_lock_irqsave
     0.02%  reservation  [kernel.kallsyms]   [k] udp_queue_rcv_one_skb
     0.02%  reservation  reservation         [.] encoding/json.(*decodeState).unmarshal
     0.02%  reservation  reservation         [.] github.com/harlow/go-micro-services/services/reservation.(*Server).CheckAvailability.func1
     0.02%  reservation  reservation         [.] golang.org/x/net/http2.(*DataFrame).Header
     0.02%  reservation  [kernel.kallsyms]   [k] nf_ip_checksum
     0.02%  reservation  [kernel.kallsyms]   [k] mlx5_cq_tasklet_cb
     0.02%  reservation  [kernel.kallsyms]   [k] aa_apply_modes_to_perms
     0.02%  reservation  reservation         [.] golang.org/x/net/http2.(*Framer).WriteDataPadded
     0.02%  reservation  reservation         [.] reflect.(*rtype).FieldByName
     0.02%  reservation  reservation         [.] context.WithValue
     0.02%  reservation  [kernel.kallsyms]   [k] rw_verify_area
     0.02%  reservation  [kernel.kallsyms]   [k] __build_skb
     0.02%  reservation  [kernel.kallsyms]   [k] _copy_to_iter
     0.02%  reservation  reservation         [.] time.skip
     0.02%  reservation  reservation         [.] fmt.Fprintf
     0.02%  reservation  reservation         [.] runtime.resetspinning
     0.02%  reservation  [kernel.kallsyms]   [k] ip_vs_forward_icmp
     0.02%  reservation  reservation         [.] time.Time.Add
     0.02%  reservation  reservation         [.] gogo
     0.02%  reservation  [kernel.kallsyms]   [k] dput
     0.02%  reservation  [kernel.kallsyms]   [k] nbp_switchdev_frame_mark
     0.02%  reservation  reservation         [.] golang.org/x/net/http2/hpack.(*dynamicTable).evict
     0.02%  reservation  [kernel.kallsyms]   [k] dst_release
     0.02%  reservation  [kernel.kallsyms]   [k] tcp_small_queue_check.isra.0
     0.02%  reservation  [kernel.kallsyms]   [k] __raise_softirq_irqoff
     0.02%  reservation  [kernel.kallsyms]   [k] aa_label_next_confined
     0.02%  reservation  [kernel.kallsyms]   [k] __mod_lruvec_state
     0.02%  reservation  reservation         [.] runtime.sigtrampgo
     0.02%  reservation  [kernel.kallsyms]   [k] fpregs_mark_activate
     0.02%  reservation  reservation         [.] runtime.interequal
     0.02%  reservation  [kernel.kallsyms]   [k] csum_partial
     0.02%  reservation  reservation         [.] fmt.(*fmt).padString
     0.02%  reservation  reservation         [.] fmt.(*ss).convertString
     0.02%  reservation  reservation         [.] runtime.copystack
     0.02%  reservation  [kernel.kallsyms]   [k] __br_forward
     0.02%  reservation  [kernel.kallsyms]   [k] __mod_memcg_state
     0.02%  reservation  reservation         [.] internal/bytealg.IndexByteString.abi0
     0.02%  reservation  [kernel.kallsyms]   [k] ___slab_alloc
     0.02%  reservation  reservation         [.] google.golang.org/grpc/encoding/proto.(*codec).Unmarshal
     0.02%  reservation  [kernel.kallsyms]   [k] vxlan_get_route
     0.02%  reservation  [kernel.kallsyms]   [k] jiffies_to_usecs
     0.02%  reservation  reservation         [.] internal/poll.(*FD).writeUnlock
     0.02%  reservation  [kernel.kallsyms]   [k] hrtimer_reprogram
     0.02%  reservation  [kernel.kallsyms]   [k] build_skb
     0.02%  reservation  reservation         [.] reflect.resolveTypeOff
     0.02%  reservation  reservation         [.] google.golang.org/grpc/transport.(*http2Server).updateWindow
     0.02%  reservation  reservation         [.] os.fillFileStatFromSys
     0.02%  reservation  [kernel.kallsyms]   [k] ip_vs_out
     0.02%  reservation  reservation         [.] runtime.isAsyncSafePoint
     0.02%  reservation  [kernel.kallsyms]   [k] find_task_by_vpid
     0.02%  reservation  reservation         [.] runtime.convT64
     0.02%  reservation  [kernel.kallsyms]   [k] br_forward
     0.02%  reservation  reservation         [.] github.com/golang/protobuf/proto.getbase
     0.02%  reservation  [kernel.kallsyms]   [k] tcp_options_write
     0.02%  reservation  reservation         [.] google.golang.org/grpc/transport.(*quotaPool).get
     0.02%  reservation  reservation         [.] runtime.typeBitsBulkBarrier
     0.02%  reservation  [kernel.kallsyms]   [k] tcp_v4_rcv
     0.02%  reservation  [kernel.kallsyms]   [k] __do_sys_madvise
     0.02%  reservation  reservation         [.] github.com/rs/zerolog.(*ConsoleWriter).Write
     0.02%  reservation  reservation         [.] github.com/golang/protobuf/proto.(*Buffer).dec_proto3_string
     0.02%  reservation  reservation         [.] runtime.atomicwb
     0.02%  reservation  [kernel.kallsyms]   [k] cp_new_stat
     0.02%  reservation  [kernel.kallsyms]   [k] mlx5e_post_rx_wqes
     0.02%  reservation  [kernel.kallsyms]   [k] __release_sock
     0.02%  reservation  [kernel.kallsyms]   [k] skb_network_protocol
     0.02%  reservation  reservation         [.] github.com/uber/jaeger-client-go.(*Span).Finish
     0.02%  reservation  reservation         [.] runtime.nanotime
     0.02%  reservation  reservation         [.] runtime.morestack_noctxt.abi0
     0.02%  reservation  reservation         [.] github.com/uber/jaeger-client-go.(*Span).Context
     0.02%  reservation  reservation         [.] runtime.checkIdleGCNoP
     0.02%  reservation  reservation         [.] runtime.(*mcache).releaseAll
     0.02%  reservation  reservation         [.] runtime.globrunqget
     0.02%  reservation  reservation         [.] runtime.entersyscall.abi0
     0.02%  reservation  reservation         [.] encoding/json.stateBeginString
     0.02%  reservation  reservation         [.] sync/atomic.CompareAndSwapPointer
     0.02%  reservation  [kernel.kallsyms]   [k] __sock_wfree
     0.02%  reservation  [kernel.kallsyms]   [k] vmacache_find
     0.02%  reservation  reservation         [.] github.com/uber/jaeger-client-go.(*Tracer).newSpan
     0.02%  reservation  reservation         [.] runtime.chansend1
     0.02%  reservation  reservation         [.] gopkg.in/mgo%2ev2.(*mongoSocket).Acquire
     0.02%  reservation  [kernel.kallsyms]   [k] __hrtimer_next_event_base
     0.02%  reservation  reservation         [.] encoding/json.stateEndTop
     0.02%  reservation  reservation         [.] github.com/rs/zerolog.ParseLevel
     0.02%  reservation  reservation         [.] reflect.(*rtype).Key
     0.02%  reservation  [kernel.kallsyms]   [k] __x64_sys_getcwd
     0.02%  reservation  [kernel.kallsyms]   [k] exit_to_usermode_loop
     0.02%  reservation  [kernel.kallsyms]   [k] vxlan_find_mac
     0.02%  reservation  [kernel.kallsyms]   [k] x86_pmu_enable
     0.02%  reservation  reservation         [.] runtime.goexit0
     0.02%  reservation  reservation         [.] fmt.newPrinter
     0.02%  reservation  [kernel.kallsyms]   [k] __accumulate_pelt_segments
     0.02%  reservation  reservation         [.] github.com/golang/protobuf/proto.(*Buffer).DecodeRawBytes
     0.02%  reservation  reservation         [.] encoding/json.stateBeginValue
     0.02%  reservation  [kernel.kallsyms]   [k] nf_csum_update
     0.02%  reservation  reservation         [.] runtime.preemptone
     0.02%  reservation  reservation         [.] golang.org/x/net/http2.(*MetaHeadersFrame).PseudoFields
     0.02%  reservation  [kernel.kallsyms]   [k] vfs_getattr_nosec
     0.02%  reservation  [kernel.kallsyms]   [k] __skb_clone
     0.02%  reservation  reservation         [.] reflect.directlyAssignable
     0.02%  reservation  [kernel.kallsyms]   [k] set_user_sigmask
     0.02%  reservation  [kernel.kallsyms]   [k] __set_current_blocked
     0.02%  reservation  reservation         [.] runtime.mput
     0.02%  reservation  reservation         [.] encoding/json.indirect
     0.02%  reservation  [kernel.kallsyms]   [k] vxlan_gro_receive
     0.02%  reservation  reservation         [.] google.golang.org/grpc/transport.(*http2Server).handleData
     0.02%  reservation  [kernel.kallsyms]   [k] osq_lock
     0.02%  reservation  reservation         [.] strings.LastIndex
     0.02%  reservation  [kernel.kallsyms]   [k] dev_queue_xmit
     0.02%  reservation  reservation         [.] github.com/opentracing/opentracing-go.startSpanFromContextWithTracer
     0.02%  reservation  [kernel.kallsyms]   [k] mlx5e_handle_rx_cqe
     0.02%  reservation  reservation         [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders.func1
     0.02%  reservation  reservation         [.] encoding/json.(*scanner).popParseState
     0.02%  reservation  reservation         [.] internal/testlog.Getenv
     0.02%  reservation  reservation         [.] runtime.(*mheap).alloc
     0.02%  reservation  [kernel.kallsyms]   [k] __x64_sys_read
     0.01%  reservation  [kernel.kallsyms]   [k] zap_pte_range.isra.0
     0.01%  reservation  [kernel.kallsyms]   [k] napi_complete_done
     0.01%  reservation  reservation         [.] golang.org/x/net/http2.FrameHeader.Header
     0.01%  reservation  [kernel.kallsyms]   [k] do_epoll_wait
     0.01%  reservation  [kernel.kallsyms]   [k] __udp4_lib_rcv
     0.01%  reservation  reservation         [.] runtime.concatstring3
     0.01%  reservation  [kernel.kallsyms]   [k] __fdget_pos
     0.01%  reservation  [kernel.kallsyms]   [k] tcp_tx_timestamp
     0.01%  reservation  [kernel.kallsyms]   [k] prepare_signal
     0.01%  reservation  reservation         [.] fmt.(*ss).scanUint
     0.01%  reservation  reservation         [.] runtime.(*workbuf).checkempty
     0.01%  reservation  reservation         [.] google.golang.org/grpc/transport.decodeMetadataHeader
     0.01%  reservation  reservation         [.] context.(*cancelCtx).cancel
     0.01%  reservation  reservation         [.] time.(*Time).addSec
     0.01%  reservation  reservation         [.] syscall.fstatat
     0.01%  reservation  reservation         [.] reflect.makemap
     0.01%  reservation  reservation         [.] runtime.rawstring
     0.01%  reservation  reservation         [.] github.com/rs/zerolog.consoleDefaultFormatMessage.func1
     0.01%  reservation  reservation         [.] github.com/opentracing/opentracing-go.(*SpanReference).Apply
     0.01%  reservation  reservation         [.] runtime.funcname
     0.01%  reservation  reservation         [.] reflect.(*rtype).ptrTo
     0.01%  reservation  reservation         [.] github.com/uber/jaeger-client-go.(*Tracer).randomID
     0.01%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.(*Client).putFreeConn
     0.01%  reservation  reservation         [.] runtime.funcfile
     0.01%  reservation  [kernel.kallsyms]   [k] perf_event_task_tick
     0.01%  reservation  reservation         [.] golang.org/x/net/http2.(*WindowUpdateFrame).invalidate
     0.01%  reservation  reservation         [.] golang.org/x/net/http2/hpack.(*Encoder).searchTable
     0.01%  reservation  [kernel.kallsyms]   [k] pagevec_lru_move_fn
     0.01%  reservation  [kernel.kallsyms]   [k] aa_may_signal
     0.01%  reservation  [kernel.kallsyms]   [k] walk_component
     0.01%  reservation  [kernel.kallsyms]   [k] inet6_recvmsg
     0.01%  reservation  [kernel.kallsyms]   [k] restore_sigcontext
     0.01%  reservation  [kernel.kallsyms]   [k] aa_dfa_next
     0.01%  reservation  [kernel.kallsyms]   [k] aa_compute_fperms
     0.01%  reservation  reservation         [.] github.com/rs/zerolog.(*Event).caller
     0.01%  reservation  reservation         [.] time.getnum
     0.01%  reservation  reservation         [.] runtime.(*spanSetBlockAlloc).alloc
     0.01%  reservation  [kernel.kallsyms]   [k] br_validate_ipv4.isra.0
     0.01%  reservation  reservation         [.] google.golang.org/grpc.(*Server).processUnaryRPC.func3
     0.01%  reservation  [kernel.kallsyms]   [k] pick_next_entity
     0.01%  reservation  [kernel.kallsyms]   [k] gro_normal_one
     0.01%  reservation  [kernel.kallsyms]   [k] __dev_forward_skb
     0.01%  reservation  [kernel.kallsyms]   [k] apic_ack_irq
     0.01%  reservation  [kernel.kallsyms]   [k] nf_nat_ipv4_manip_pkt
     0.01%  reservation  reservation         [.] runtime.preemptall
     0.01%  reservation  [kernel.kallsyms]   [k] __napi_schedule
     0.01%  reservation  reservation         [.] runtime.exitsyscall.abi0
     0.01%  reservation  [kernel.kallsyms]   [k] do_sched_yield
     0.01%  reservation  reservation         [.] reflect.Value.Addr
     0.01%  reservation  reservation         [.] github.com/uber/jaeger-client-go.(*compositeSpanObserver).OnFinish
     0.01%  reservation  [kernel.kallsyms]   [k] __bitmap_and
     0.01%  reservation  [kernel.kallsyms]   [k] getname_flags
     0.01%  reservation  [kernel.kallsyms]   [k] note_interrupt
     0.01%  reservation  reservation         [.] github.com/uber/jaeger-client-go.ContextFromString
     0.01%  reservation  reservation         [.] strings.EqualFold
     0.01%  reservation  [kernel.kallsyms]   [k] security_inode_permission
     0.01%  reservation  reservation         [.] runtime.publicationBarrier.abi0
     0.01%  reservation  reservation         [.] runtime.(*addrRanges).removeLast
     0.01%  reservation  reservation         [.] runtime.findnull
     0.01%  reservation  [kernel.kallsyms]   [k] path_lookupat.isra.0
     0.01%  reservation  reservation         [.] runtime.convTslice
     0.01%  reservation  [kernel.kallsyms]   [k] get_task_policy.part.0
     0.01%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.(*Client).getFreeConn
     0.01%  reservation  reservation         [.] runtime.saveAncestors
     0.01%  reservation  [kernel.kallsyms]   [k] llist_add_batch
     0.01%  reservation  reservation         [.] runtime.binarySearchTree
     0.01%  reservation  reservation         [.] encoding/json.stateBeginStringOrEmpty
     0.01%  reservation  [kernel.kallsyms]   [k] __intel_pmu_disable_all
     0.01%  reservation  [kernel.kallsyms]   [k] udp_unicast_rcv_skb.isra.0
     0.01%  reservation  reservation         [.] bytes.(*Buffer).WriteTo
     0.01%  reservation  [kernel.kallsyms]   [k] rcu_irq_exit
     0.01%  reservation  reservation         [.] runtime.gorecover
     0.01%  reservation  reservation         [.] internal/poll.setDeadlineImpl.dwrap.4
     0.01%  reservation  [kernel.kallsyms]   [k] perf_event_set_state.part.0
     0.01%  reservation  [kernel.kallsyms]   [k] tcp_grow_window.isra.0
     0.01%  reservation  [kernel.kallsyms]   [k] update_rt_rq_load_avg
     0.01%  reservation  reservation         [.] os.statNolog
     0.01%  reservation  [kernel.kallsyms]   [k] ip_route_input_noref
     0.01%  reservation  [kernel.kallsyms]   [k] setup_pre_routing
     0.01%  reservation  [kernel.kallsyms]   [k] idle_cpu
     0.01%  reservation  reservation         [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Extract.func1
     0.01%  reservation  reservation         [.] internal/poll.(*pollDesc).prepare
     0.01%  reservation  reservation         [.] context.removeChild
     0.01%  reservation  [kernel.kallsyms]   [k] terminate_walk
     0.01%  reservation  [kernel.kallsyms]   [k] sk_forced_mem_schedule
     0.01%  reservation  [kernel.kallsyms]   [k] tcp_event_data_recv
     0.01%  reservation  [kernel.kallsyms]   [k] skb_ext_add
     0.01%  reservation  reservation         [.] fmt.Sprintf
     0.01%  reservation  [kernel.kallsyms]   [k] eth_gro_receive
     0.01%  reservation  [kernel.kallsyms]   [k] tcp_stream_memory_free
     0.01%  reservation  reservation         [.] runtime.(*gcWork).putBatch
     0.01%  reservation  [kernel.kallsyms]   [k] anon_pipe_buf_release
     0.01%  reservation  [kernel.kallsyms]   [k] select_idle_sibling
     0.01%  reservation  [kernel.kallsyms]   [k] __nf_ct_refresh_acct
     0.01%  reservation  reservation         [.] reflect.cvtBytesString
     0.01%  reservation  [kernel.kallsyms]   [k] __sb_start_write
     0.01%  reservation  reservation         [.] time.Time.Format
     0.01%  reservation  [kernel.kallsyms]   [k] napi_consume_skb
     0.01%  reservation  [kernel.kallsyms]   [k] smp_call_function_single
     0.01%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.(*Client).getFromAddr
     0.01%  reservation  [kernel.kallsyms]   [k] migrate_task_rq_fair
     0.01%  reservation  [kernel.kallsyms]   [k] __pm_relax
     0.01%  reservation  reservation         [.] github.com/rs/zerolog.callerHook.Run
     0.01%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.(*conn).extendDeadline
     0.01%  reservation  reservation         [.] runtime.convI2I
     0.01%  reservation  [kernel.kallsyms]   [k] __check_heap_object
     0.01%  reservation  [kernel.kallsyms]   [k] update_nohz_stats
     0.01%  reservation  reservation         [.] time.now
     0.01%  reservation  [kernel.kallsyms]   [k] sk_free
     0.01%  reservation  [kernel.kallsyms]   [k] netif_receive_skb_list_internal
     0.01%  reservation  [kernel.kallsyms]   [k] schedule_hrtimeout_range_clock
     0.01%  reservation  [kernel.kallsyms]   [k] tick_sched_timer
     0.01%  reservation  reservation         [.] strconv.FormatInt
     0.01%  reservation  [kernel.kallsyms]   [k] aa_path_perm
     0.01%  reservation  [kernel.kallsyms]   [k] tlb_is_not_lazy
     0.01%  reservation  [kernel.kallsyms]   [k] task_ctx_sched_out
     0.01%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.(*Client).GetMulti.func2
     0.01%  reservation  [kernel.kallsyms]   [k] ip_forward_finish
     0.01%  reservation  [kernel.kallsyms]   [k] hrtimer_wakeup
     0.01%  reservation  reservation         [.] google.golang.org/grpc/transport.(*quotaPool).add
     0.01%  reservation  [kernel.kallsyms]   [k] unmap_page_range
     0.01%  reservation  [kernel.kallsyms]   [k] __dec_node_state
     0.01%  reservation  [kernel.kallsyms]   [k] __tcp_v4_send_check
     0.01%  reservation  [kernel.kallsyms]   [k] override_creds
     0.01%  reservation  [kernel.kallsyms]   [k] retint_kernel
     0.01%  reservation  reservation         [.] runtime.goready.func1
     0.01%  reservation  [kernel.kallsyms]   [k] __x86_indirect_thunk_rcx
     0.01%  reservation  reservation         [.] reflect.New
     0.01%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.(*Client).populateOne
     0.01%  reservation  [kernel.kallsyms]   [k] sock_zerocopy_put
     0.01%  reservation  [kernel.kallsyms]   [k] tcp_rate_gen
     0.01%  reservation  [kernel.kallsyms]   [k] ovl_permission
     0.01%  reservation  reservation         [.] runtime.markrootSpans
     0.01%  reservation  reservation         [.] fmt.errorHandler
     0.01%  reservation  reservation         [.] strconv.formatBits
     0.01%  reservation  [kernel.kallsyms]   [k] tcp_rate_skb_sent
     0.01%  reservation  reservation         [.] runtime.releasep
     0.01%  reservation  reservation         [.] gopkg.in/mgo%2ev2.(*Session).Close
     0.01%  reservation  reservation         [.] reflect.Value.Field
     0.01%  reservation  reservation         [.] runtime.runSafePointFn
     0.01%  reservation  [kernel.kallsyms]   [k] release_pages
     0.01%  reservation  [kernel.kallsyms]   [k] tcp_send_ack
     0.01%  reservation  [kernel.kallsyms]   [k] rb_erase
     0.01%  reservation  [kernel.kallsyms]   [k] sk_reset_timer
     0.01%  reservation  [kernel.kallsyms]   [k] __handle_irq_event_percpu
     0.01%  reservation  [kernel.kallsyms]   [k] ovl_same_sb
     0.01%  reservation  [kernel.kallsyms]   [k] nf_ct_invert_tuple
     0.01%  reservation  reservation         [.] os.(*File).Write
     0.01%  reservation  reservation         [.] strings.Index
     0.01%  reservation  reservation         [.] golang.org/x/net/http2.(*HeadersFrame).invalidate
     0.01%  reservation  [kernel.kallsyms]   [k] __handle_mm_fault
     0.01%  reservation  [kernel.kallsyms]   [k] complete_walk
     0.01%  reservation  [kernel.kallsyms]   [k] hrtimer_init_sleeper
     0.01%  reservation  reservation         [.] github.com/rs/zerolog.consoleDefaultFormatTimestamp.func1
     0.01%  reservation  reservation         [.] github.com/rs/zerolog.(*Event).write
     0.01%  reservation  [kernel.kallsyms]   [k] dst_cache_get_ip4
     0.01%  reservation  [kernel.kallsyms]   [k] apparmor_task_kill
     0.01%  reservation  [kernel.kallsyms]   [k] __tcp_send_ack.part.0
     0.01%  reservation  reservation         [.] encoding/json.(*decodeState).scanNext
     0.01%  reservation  reservation         [.] gopkg.in/mgo%2ev2.(*Session).unsetSocket
     0.01%  reservation  reservation         [.] runtime.growWork_faststr
     0.01%  reservation  [kernel.kallsyms]   [k] dql_completed
     0.01%  reservation  reservation         [.] runtime.(*Frames).Next
     0.01%  reservation  reservation         [.] runtime.madvise.abi0
     0.01%  reservation  [kernel.kallsyms]   [k] ip_list_rcv
     0.01%  reservation  [kernel.kallsyms]   [k] tcp_sendmsg
     0.01%  reservation  [kernel.kallsyms]   [k] smp_apic_timer_interrupt
     0.01%  reservation  [kernel.kallsyms]   [k] strncpy_from_user
     0.01%  reservation  [kernel.kallsyms]   [k] rcu_sched_clock_irq
     0.01%  reservation  [kernel.kallsyms]   [k] aa_sk_perm
     0.01%  reservation  [kernel.kallsyms]   [k] __hrtimer_run_queues
     0.01%  reservation  [kernel.kallsyms]   [k] path_name.isra.0
     0.01%  reservation  [kernel.kallsyms]   [k] _raw_spin_unlock_bh
     0.01%  reservation  [kernel.kallsyms]   [k] __mark_inode_dirty
     0.01%  reservation  [kernel.kallsyms]   [k] ipod_hook_fn
     0.01%  reservation  reservation         [.] google.golang.org/grpc/transport.encodeGrpcMessage
     0.01%  reservation  [kernel.kallsyms]   [k] nf_bridge_update_protocol
     0.01%  reservation  reservation         [.] runtime.procresize
     0.01%  reservation  [kernel.kallsyms]   [k] __x86_indirect_thunk_r13
     0.01%  reservation  reservation         [.] runtime.(*stackScanState).addObject
     0.01%  reservation  reservation         [.] golang.org/x/net/http2/hpack.(*Decoder).readString
     0.01%  reservation  reservation         [.] time.Time.Sub
     0.01%  reservation  reservation         [.] runtime.notewakeup
     0.01%  reservation  [kernel.kallsyms]   [k] ep_poll_callback
     0.01%  reservation  reservation         [.] google.golang.org/grpc/transport.(*quotaPool).compareAndExecute
     0.01%  reservation  reservation         [.] google.golang.org/grpc/transport.(*Stream).waitOnHeader
     0.01%  reservation  reservation         [.] reflect.(*rtype).NumMethod
     0.01%  reservation  reservation         [.] sync/atomic.StorePointer
     0.01%  reservation  reservation         [.] runtime.(*pageAlloc).findMappedAddr
     0.01%  reservation  [kernel.kallsyms]   [k] pipe_write
     0.01%  reservation  [kernel.kallsyms]   [k] udp_gro_receive
     0.01%  reservation  [kernel.kallsyms]   [k] rb_first
     0.01%  reservation  reservation         [.] reflect.name.name
     0.01%  reservation  [kernel.kallsyms]   [k] pmd_devmap_trans_unstable
     0.01%  reservation  [kernel.kallsyms]   [k] rcu_note_context_switch
     0.01%  reservation  [kernel.kallsyms]   [k] restore_altstack
     0.01%  reservation  reservation         [.] runtime.tracebackdefers
     0.01%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.(*staticAddr).String
     0.01%  reservation  reservation         [.] runtime.gcBgMarkWorker
     0.01%  reservation  [kernel.kallsyms]   [k] tcp_gro_receive
     0.01%  reservation  reservation         [.] internal/poll.runtime_Semrelease
     0.01%  reservation  reservation         [.] runtime.acquirep
     0.01%  reservation  reservation         [.] google.golang.org/grpc/transport.(*http2Server).adjustWindow.dwrap.19
     0.01%  reservation  reservation         [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1.dwrap.2
     0.01%  reservation  reservation         [.] type..hash.golang.org/x/net/http2/hpack.pairNameValue
     0.01%  reservation  reservation         [.] google.golang.org/grpc.(*parser).recvMsg
     0.01%  reservation  reservation         [.] runtime.updateTimerPMask
     0.01%  reservation  reservation         [.] reflect.(*structType).Field
     0.01%  reservation  [kernel.kallsyms]   [k] set_next_buddy
     0.01%  reservation  reservation         [.] reflect.Value.Bytes
     0.01%  reservation  reservation         [.] runtime.bgscavenge
     0.01%  reservation  [kernel.kallsyms]   [k] rmqueue
     0.01%  reservation  reservation         [.] bytes.(*Buffer).WriteString
     0.01%  reservation  reservation         [.] runtime.goexit.abi0
     0.01%  reservation  [kernel.kallsyms]   [k] tcp_newly_delivered
     0.01%  reservation  reservation         [.] github.com/golang/protobuf/proto.(*Buffer).DecodeVarint
     0.01%  reservation  reservation         [.] runtime.goschedImpl
     0.01%  reservation  [kernel.kallsyms]   [k] __sigqueue_free.part.0
     0.01%  reservation  reservation         [.] github.com/apache/thrift/lib/go/thrift.(*TCompactProtocol).WriteListBegin
     0.01%  reservation  [kernel.kallsyms]   [k] cpus_share_cache
     0.01%  reservation  reservation         [.] encoding/json.(*decodeState).scanWhile
     0.01%  reservation  [kernel.kallsyms]   [k] send_signal
     0.01%  reservation  reservation         [.] reflect.implements
     0.01%  reservation  reservation         [.] reflect.Value.String
     0.01%  reservation  [kernel.kallsyms]   [k] call_function_single_interrupt
     0.01%  reservation  [kernel.kallsyms]   [k] clear_user
     0.01%  reservation  reservation         [.] github.com/rs/zerolog.(*Event).Str
     0.01%  reservation  [kernel.kallsyms]   [k] sk_filter_trim_cap
     0.01%  reservation  reservation         [.] runtime.memhash32
     0.01%  reservation  reservation         [.] runtime.funcline1
     0.01%  reservation  [kernel.kallsyms]   [k] __kmalloc_reserve.isra.0
     0.01%  reservation  reservation         [.] runtime.exitsyscallfast_reacquired
     0.01%  reservation  reservation         [.] google.golang.org/grpc/transport.(*bdpEstimator).add
     0.01%  reservation  reservation         [.] gopkg.in/mgo%2ev2.(*Session).Refresh
     0.01%  reservation  reservation         [.] golang.org/x/net/http2/hpack.(*headerFieldTable).evictOldest
     0.01%  reservation  reservation         [.] github.com/harlow/go-micro-services/services/reservation/proto.(*Request).Reset
     0.01%  reservation  [kernel.kallsyms]   [k] gro_cell_poll
     0.01%  reservation  [kernel.kallsyms]   [k] __update_load_avg_blocked_se
     0.01%  reservation  [kernel.kallsyms]   [k] lru_add_drain_cpu
     0.01%  reservation  reservation         [.] net.(*TCPConn).SetDeadline
     0.01%  reservation  [kernel.kallsyms]   [k] nf_nat_manip_pkt
     0.01%  reservation  reservation         [.] net.(*TCPConn).Write
     0.01%  reservation  [kernel.kallsyms]   [k] __x64_sys_rt_sigreturn
     0.01%  reservation  reservation         [.] reflect.(*rtype).uncommon
     0.01%  reservation  [kernel.kallsyms]   [k] free_unref_page_list
     0.01%  reservation  [kernel.kallsyms]   [k] fpu__clear
     0.01%  reservation  reservation         [.] runtime.scavengeSleep
     0.01%  reservation  reservation         [.] golang.org/x/net/http2.(*Framer).WriteWindowUpdate
     0.01%  reservation  [kernel.kallsyms]   [k] page_counter_uncharge
     0.01%  reservation  [kernel.kallsyms]   [k] INET_ECN_decapsulate
