# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 21K of event 'cycles'
# Event count (approx.): 54619642632
#
# Overhead  Command      Shared Object      Symbol                                                                                                         
# ........  ...........  .................  ...............................................................................................................
#
     0.02%  reservation  [kernel.kallsyms]  [k] perf_pmu_nop_int
     0.02%  reservation  [kernel.kallsyms]  [k] __bitmap_and
     0.02%  reservation  [kernel.kallsyms]  [k] interrupt_entry
     0.02%  reservation  reservation        [.] runtime.goready
     0.02%  reservation  [kernel.kallsyms]  [k] __dev_forward_skb
     0.02%  reservation  reservation        [.] runtime.scanobject
     0.02%  reservation  [kernel.kallsyms]  [k] cp_new_stat
     0.02%  reservation  [kernel.kallsyms]  [k] __mnt_want_write
     0.02%  reservation  [kernel.kallsyms]  [k] skb_pull
     0.02%  reservation  [kernel.kallsyms]  [k] tcp_chrono_start
     0.02%  reservation  reservation        [.] golang.org/x/net/http2.(*Framer).WriteDataPadded
     0.02%  reservation  reservation        [.] gosave_systemstack_switch
     0.02%  reservation  [kernel.kallsyms]  [k] ovl_path_type
     0.02%  reservation  [kernel.kallsyms]  [k] tcp_sendmsg
     0.02%  reservation  reservation        [.] runtime.netpollBreak
     0.02%  reservation  reservation        [.] gopkg.in/mgo%2ev2.debugf
     0.02%  reservation  [kernel.kallsyms]  [k] path_init
     0.02%  reservation  [kernel.kallsyms]  [k] is_skb_forwardable
     0.02%  reservation  [kernel.kallsyms]  [k] hrtimer_try_to_cancel
     0.02%  reservation  [kernel.kallsyms]  [k] profile_tick
     0.02%  reservation  reservation        [.] google.golang.org/grpc/transport.(*quotaPool).get
     0.02%  reservation  reservation        [.] reflect.Value.String
     0.02%  reservation  reservation        [.] sort.(*StringSlice).Len
     0.02%  reservation  reservation        [.] golang.org/x/net/http2.FrameHeader.Header
     0.02%  reservation  [kernel.kallsyms]  [k] tcp_rack_advance
     0.02%  reservation  [kernel.kallsyms]  [k] tcp_v4_fill_cb
     0.02%  reservation  [kernel.kallsyms]  [k] timerqueue_del
     0.02%  reservation  reservation        [.] strings.Join
     0.02%  reservation  reservation        [.] internal/poll.setDeadlineImpl.dwrap.4
     0.02%  reservation  reservation        [.] google.golang.org/grpc/transport.(*recvBufferReader).Read
     0.02%  reservation  [kernel.kallsyms]  [k] tcp_stream_memory_free
     0.02%  reservation  reservation        [.] fmt.(*fmt).truncateString
     0.02%  reservation  reservation        [.] reflect.Value.NumField
     0.02%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).getStream
     0.02%  reservation  reservation        [.] fmt.newScanState
     0.02%  reservation  reservation        [.] runtime.tracebackdefers
     0.02%  reservation  reservation        [.] google.golang.org/grpc/transport.(*quotaPool).lockedAdd
     0.02%  reservation  reservation        [.] runtime.(*mheap).alloc
     0.02%  reservation  reservation        [.] github.com/rs/zerolog.newEvent
     0.02%  reservation  [kernel.kallsyms]  [k] apparmor_file_permission
     0.02%  reservation  reservation        [.] runtime.memhash32
     0.02%  reservation  reservation        [.] runtime.stackpoolalloc
     0.02%  reservation  [kernel.kallsyms]  [k] __legitimize_mnt
     0.02%  reservation  [kernel.kallsyms]  [k] pipe_write
     0.02%  reservation  [kernel.kallsyms]  [k] check_cfs_rq_runtime
     0.02%  reservation  [kernel.kallsyms]  [k] __usecs_to_jiffies
     0.02%  reservation  reservation        [.] github.com/golang/protobuf/proto.mergeAny
     0.02%  reservation  [kernel.kallsyms]  [k] strncpy_from_user
     0.01%  reservation  [kernel.kallsyms]  [k] __fdget
     0.01%  reservation  reservation        [.] google.golang.org/grpc/encoding/proto.marshal
     0.01%  reservation  reservation        [.] google.golang.org/grpc/transport.(*recvBufferReader).read
     0.01%  reservation  [kernel.kallsyms]  [k] lock_timer_base
     0.01%  reservation  [kernel.kallsyms]  [k] ovl_override_creds
     0.01%  reservation  reservation        [.] fmt.newPrinter
     0.01%  reservation  reservation        [.] runtime.selectnbsend
     0.01%  reservation  reservation        [.] runtime.concatstring3
     0.01%  reservation  reservation        [.] golang.org/x/net/http2/hpack.(*dynamicTable).add
     0.01%  reservation  reservation        [.] runtime.updateTimerPMask
     0.01%  reservation  reservation        [.] golang.org/x/net/http2.(*Framer).WritePing
     0.01%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*Tracer).newSpan
     0.01%  reservation  reservation        [.] google.golang.org/grpc.(*Server).serveStreams.func1.1
     0.01%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*Tracer).reportSpan
     0.01%  reservation  [kernel.kallsyms]  [k] ttwu_do_activate
     0.01%  reservation  reservation        [.] github.com/rs/zerolog.colorize
     0.01%  reservation  [kernel.kallsyms]  [k] exit_to_usermode_loop
     0.01%  reservation  [kernel.kallsyms]  [k] ovl_inode_lower
     0.01%  reservation  reservation        [.] runtime.memhash
     0.01%  reservation  [kernel.kallsyms]  [k] reschedule_interrupt
     0.01%  reservation  reservation        [.] runtime.makeslicecopy
     0.01%  reservation  reservation        [.] google.golang.org/grpc/transport.(*recvBuffer).load
     0.01%  reservation  reservation        [.] reflect.Value.FieldByName
     0.01%  reservation  [kernel.kallsyms]  [k] ip_queue_xmit
     0.01%  reservation  [kernel.kallsyms]  [k] tcp_tx_timestamp
     0.01%  reservation  reservation        [.] github.com/harlow/go-micro-services/services/reservation/proto._Reservation_CheckAvailability_Handler.func1
     0.01%  reservation  [kernel.kallsyms]  [k] __vfs_read
     0.01%  reservation  [kernel.kallsyms]  [k] __sb_end_write
     0.01%  reservation  reservation        [.] fmt.Sprintf
     0.01%  reservation  reservation        [.] github.com/rs/zerolog.(*Logger).should
     0.01%  reservation  [kernel.kallsyms]  [k] tcp_check_space
     0.01%  reservation  reservation        [.] context.WithCancel
     0.01%  reservation  [kernel.kallsyms]  [k] __remove_hrtimer
     0.01%  reservation  reservation        [.] encoding/json.(*decodeState).scanNext
     0.01%  reservation  [kernel.kallsyms]  [k] tcp_event_data_recv
     0.01%  reservation  reservation        [.] golang.org/x/net/http2.(*Framer).endWrite
     0.01%  reservation  [kernel.kallsyms]  [k] walk_component
     0.01%  reservation  reservation        [.] github.com/harlow/go-micro-services/services/reservation/proto.(*Request).Reset
     0.01%  reservation  reservation        [.] github.com/golang/protobuf/proto.(*Buffer).dec_proto3_string
     0.01%  reservation  [kernel.kallsyms]  [k] raw_local_deliver
     0.01%  reservation  [kernel.kallsyms]  [k] skb_csum_hwoffload_help
     0.01%  reservation  reservation        [.] reflect.unsafe_New
     0.01%  reservation  reservation        [.] gopkg.in/mgo%2ev2.(*Session).Copy
     0.01%  reservation  reservation        [.] golang.org/x/net/http2.(*PingFrame).Header
     0.01%  reservation  [kernel.kallsyms]  [k] tcp_schedule_loss_probe
     0.01%  reservation  reservation        [.] golang.org/x/net/http2.parseWindowUpdateFrame
     0.01%  reservation  [kernel.kallsyms]  [k] __hrtimer_get_next_event
     0.01%  reservation  [kernel.kallsyms]  [k] ip_rcv_finish
     0.01%  reservation  [kernel.kallsyms]  [k] __kmalloc_reserve.isra.0
     0.01%  reservation  reservation        [.] syscall.Getcwd
     0.01%  reservation  reservation        [.] runtime.read.abi0
     0.01%  reservation  [kernel.kallsyms]  [k] clockevents_program_event
     0.01%  reservation  [kernel.kallsyms]  [k] link_path_walk.part.0
     0.01%  reservation  [kernel.kallsyms]  [k] check_stack_object
     0.01%  reservation  reservation        [.] runtime.interequal
     0.01%  reservation  reservation        [.] google.golang.org/grpc.(*Server).traceInfo
     0.01%  reservation  [kernel.kallsyms]  [k] sock_sendmsg
     0.01%  reservation  reservation        [.] github.com/uber/jaeger-client-go.SpanIDFromString
     0.01%  reservation  reservation        [.] reflect.New
     0.01%  reservation  reservation        [.] runtime.convT64
     0.01%  reservation  reservation        [.] github.com/golang/protobuf/proto.(*Buffer).DecodeRawBytes
     0.01%  reservation  reservation        [.] github.com/apache/thrift/lib/go/thrift.(*TMemoryBuffer).Write
     0.01%  reservation  reservation        [.] runtime.saveAncestors
     0.01%  reservation  reservation        [.] google.golang.org/grpc/transport.(*Stream).waitOnHeader
     0.01%  reservation  reservation        [.] runtime.newMarkBits
     0.01%  reservation  [kernel.kallsyms]  [k] perf_event_update_time
     0.01%  reservation  reservation        [.] runtime.acquirep
     0.01%  reservation  [kernel.kallsyms]  [k] autoremove_wake_function
     0.01%  reservation  reservation        [.] internal/bytealg.IndexByteString.abi0
     0.01%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).handlePing
     0.01%  reservation  reservation        [.] os.fillFileStatFromSys
     0.01%  reservation  reservation        [.] github.com/harlow/go-micro-services/services/reservation/proto._Reservation_CheckAvailability_Handler
     0.01%  reservation  reservation        [.] golang.org/x/net/http2/hpack.(*Decoder).parseHeaderFieldRepr
     0.01%  reservation  [kernel.kallsyms]  [k] skb_copy_datagram_iter
     0.01%  reservation  reservation        [.] runtime.rawstring
     0.01%  reservation  [kernel.kallsyms]  [k] file_update_time
     0.01%  reservation  reservation        [.] google.golang.org/grpc.(*parser).recvMsg
     0.01%  reservation  reservation        [.] github.com/rs/zerolog.(*timestampHook).Run
     0.01%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.(*Client).GetMulti.func1.dwrap.6
     0.01%  reservation  reservation        [.] runtime.makeBucketArray
     0.01%  reservation  [kernel.kallsyms]  [k] perf_event_set_state.part.0
     0.01%  reservation  [kernel.kallsyms]  [k] map_id_up
     0.01%  reservation  reservation        [.] github.com/golang/protobuf/proto.(*Buffer).dec_slice_string
     0.01%  reservation  reservation        [.] github.com/golang/protobuf/proto.(*Buffer).Marshal
     0.01%  reservation  [kernel.kallsyms]  [k] inet_recvmsg
     0.01%  reservation  reservation        [.] github.com/rs/zerolog.glob..func5
     0.01%  reservation  reservation        [.] github.com/rs/zerolog.(*Event).Timestamp
     0.01%  reservation  reservation        [.] encoding/json.(*decodeState).literalStore
     0.01%  reservation  [kernel.kallsyms]  [k] __sb_start_write
     0.01%  reservation  reservation        [.] runtime.convI2I
     0.01%  reservation  reservation        [.] github.com/golang/protobuf/proto.(*Buffer).enc_slice_string
     0.01%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders.func2
     0.01%  reservation  reservation        [.] sync/atomic.runtime_procPin
     0.01%  reservation  reservation        [.] google.golang.org/grpc/encoding/proto.(*codec).Marshal
     0.01%  reservation  reservation        [.] golang.org/x/net/http2.(*WindowUpdateFrame).Header
     0.01%  reservation  [kernel.kallsyms]  [k] set_normalized_timespec64
     0.01%  reservation  reservation        [.] reflect.resolveTypeOff
     0.01%  reservation  reservation        [.] runtime.(*consistentHeapStats).acquire
     0.01%  reservation  reservation        [.] reflect.Value.Pointer
     0.01%  reservation  reservation        [.] golang.org/x/net/http2.(*PingFrame).invalidate
     0.01%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).getStream.dwrap.18
     0.01%  reservation  reservation        [.] runtime.nilinterhash
     0.01%  reservation  reservation        [.] runtime.entersyscall_sysmon
     0.01%  reservation  [kernel.kallsyms]  [k] ip_queue_xmit
     0.01%  reservation  reservation        [.] runtime.(*mheap).allocNeedsZero
     0.01%  reservation  reservation        [.] time.(*Time).addSec
     0.01%  reservation  reservation        [.] strconv.ParseInt
     0.01%  reservation  reservation        [.] reflect.Value.Type
     0.01%  reservation  [kernel.kallsyms]  [k] __msecs_to_jiffies
     0.01%  reservation  [kernel.kallsyms]  [k] br_nf_forward_finish
     0.01%  reservation  [kernel.kallsyms]  [k] getname_flags
     0.01%  reservation  [kernel.kallsyms]  [k] __do_sys_newfstatat
     0.01%  reservation  [kernel.kallsyms]  [k] __wake_up_common_lock
     0.01%  reservation  [kernel.kallsyms]  [k] dev_queue_xmit
     0.01%  reservation  reservation        [.] net.(*conn).SetReadDeadline
     0.01%  reservation  reservation        [.] github.com/apache/thrift/lib/go/thrift.(*TMemoryBuffer).WriteByte
     0.01%  reservation  reservation        [.] golang.org/x/net/http2.(*HeadersFrame).HeaderBlockFragment
     0.01%  reservation  reservation        [.] runtime.bulkBarrierPreWrite
     0.01%  reservation  reservation        [.] runtime.assertE2I2
     0.01%  reservation  reservation        [.] internal/poll.(*FD).Write.dwrap.13
     0.01%  reservation  [kernel.kallsyms]  [k] ovl_permission
     0.01%  reservation  [kernel.kallsyms]  [k] __pm_relax
     0.01%  reservation  reservation        [.] runtime.typedmemclr
     0.01%  reservation  reservation        [.] runtime.chansend1
     0.01%  reservation  reservation        [.] golang.org/x/net/http2.(*MetaHeadersFrame).PseudoFields
     0.01%  reservation  [kernel.kallsyms]  [k] __skb_ext_del
     0.01%  reservation  reservation        [.] gopkg.in/mgo%2ev2.(*Database).run
     0.01%  reservation  reservation        [.] github.com/rs/zerolog.(*ConsoleWriter).Write
     0.01%  reservation  [kernel.kallsyms]  [k] _raw_read_unlock_irqrestore
     0.01%  reservation  reservation        [.] google.golang.org/grpc/transport.(*inFlow).onData
     0.01%  reservation  reservation        [.] gopkg.in/mgo%2ev2.(*mongoCluster).Release
     0.01%  reservation  [kernel.kallsyms]  [k] common_perm_cond
     0.01%  reservation  reservation        [.] gopkg.in/mgo.v2/bson.(*encoder).addElem
     0.01%  reservation  [kernel.kallsyms]  [k] select_estimate_accuracy
     0.01%  reservation  reservation        [.] encoding/json.stateEndTop
     0.01%  reservation  reservation        [.] golang.org/x/net/http2.parseDataFrame
     0.01%  reservation  reservation        [.] reflect.(*rtype).NumMethod
     0.01%  reservation  reservation        [.] google.golang.org/grpc/transport.(*inFlow).maybeAdjust
     0.01%  reservation  [kernel.kallsyms]  [k] remove_entity_load_avg
     0.01%  reservation  [kernel.kallsyms]  [k] __cgroup_account_cputime_field
     0.01%  reservation  [kernel.kallsyms]  [k] common_perm
     0.01%  reservation  [kernel.kallsyms]  [k] security_inode_getattr
     0.01%  reservation  [kernel.kallsyms]  [k] revert_creds
     0.01%  reservation  [kernel.kallsyms]  [k] jiffies_to_usecs
     0.01%  reservation  reservation        [.] sync/atomic.CompareAndSwapPointer
     0.01%  reservation  [kernel.kallsyms]  [k] atime_needs_update
     0.01%  reservation  reservation        [.] fmt.(*ss).free
     0.01%  reservation  reservation        [.] context.WithCancel.func1
     0.01%  reservation  [kernel.kallsyms]  [k] lock_sock_nested
     0.01%  reservation  reservation        [.] google.golang.org/grpc.encode
     0.01%  reservation  [kernel.kallsyms]  [k] ext4_getattr
     0.01%  reservation  [kernel.kallsyms]  [k] _copy_from_iter_full
     0.01%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).handleWindowUpdate
     0.01%  reservation  reservation        [.] github.com/opentracing/opentracing-go/ext.(*rpcServerOption).Apply
     0.01%  reservation  [kernel.kallsyms]  [k] sock_zerocopy_put
     0.01%  reservation  reservation        [.] golang.org/x/net/http2.(*DataFrame).Header
     0.01%  reservation  reservation        [.] golang.org/x/net/http2/hpack.(*Decoder).Write
     0.01%  reservation  [kernel.kallsyms]  [k] tcp_chrono_stop
     0.01%  reservation  reservation        [.] gopkg.in/mgo%2ev2.(*Stats).socketRefs
     0.01%  reservation  reservation        [.] golang.org/x/net/http2/hpack.(*headerFieldTable).idToIndex
     0.01%  reservation  reservation        [.] google.golang.org/grpc.checkRecvPayload
     0.01%  reservation  reservation        [.] runtime.(*headTailIndex).incTail
     0.01%  reservation  [kernel.kallsyms]  [k] sock_put
     0.01%  reservation  reservation        [.] runtime.nilinterequal
     0.01%  reservation  [kernel.kallsyms]  [k] irq_exit
     0.01%  reservation  reservation        [.] bytes.(*Reader).Read
     0.01%  reservation  [kernel.kallsyms]  [k] filename_lookup
     0.01%  reservation  [kernel.kallsyms]  [k] tcp_v4_do_rcv
     0.01%  reservation  [kernel.kallsyms]  [k] hrtimer_update_next_event
     0.01%  reservation  reservation        [.] runtime.goschedImpl
     0.01%  reservation  [kernel.kallsyms]  [k] set_next_entity
     0.01%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.(*conn).condRelease
     0.01%  reservation  reservation        [.] sync.(*WaitGroup).Done
     0.01%  reservation  reservation        [.] gopkg.in/mgo%2ev2.(*Session).Close
     0.01%  reservation  reservation        [.] time.now
     0.01%  reservation  reservation        [.] golang.org/x/net/http2.(*HeadersFrame).invalidate
     0.01%  reservation  reservation        [.] github.com/rs/zerolog.consoleDefaultFormatLevel
     0.01%  reservation  reservation        [.] github.com/rs/zerolog.(*Event).Str
     0.01%  reservation  reservation        [.] runtime.newarray
     0.01%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.(*Client).GetMulti.dwrap.5
     0.01%  reservation  reservation        [.] runtime.heapBits.forwardOrBoundary
     0.01%  reservation  reservation        [.] runtime.mput
     0.01%  reservation  reservation        [.] google.golang.org/grpc/transport.(*quotaPool).add.dwrap.2
     0.01%  reservation  reservation        [.] time.Time.Add
     0.01%  reservation  reservation        [.] gopkg.in/mgo%2ev2.(*Session).unsetSocket
     0.01%  reservation  reservation        [.] os.Getwd
     0.01%  reservation  [kernel.kallsyms]  [k] tcp_update_skb_after_send
     0.01%  reservation  reservation        [.] runtime.nanotime
     0.01%  reservation  reservation        [.] reflect.(*rtype).Kind
     0.01%  reservation  reservation        [.] reflect.Value.Convert
     0.01%  reservation  [kernel.kallsyms]  [k] schedule_hrtimeout_range
     0.01%  reservation  reservation        [.] runtime.futexwakeup
     0.01%  reservation  reservation        [.] internal/bytealg.CountString.abi0
     0.01%  reservation  reservation        [.] os.Getenv
     0.01%  reservation  [kernel.kallsyms]  [k] __raise_softirq_irqoff
     0.01%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*compositeSpanObserver).OnFinish
     0.01%  reservation  reservation        [.] runtime.Caller
     0.01%  reservation  reservation        [.] runtime.(*mheap).alloc.func1
     0.01%  reservation  [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.01%  reservation  [kernel.kallsyms]  [k] __lock_sock
     0.01%  reservation  reservation        [.] reflect.(*rtype).Name
     0.01%  reservation  [kernel.kallsyms]  [k] cyc2ns_read_begin
     0.01%  reservation  reservation        [.] golang.org/x/net/http2/hpack.(*dynamicTable).evict
     0.01%  reservation  [kernel.kallsyms]  [k] skb_release_all
     0.01%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*Span).SetTag.dwrap.16
     0.01%  reservation  reservation        [.] runtime.funcname
     0.01%  reservation  reservation        [.] reflect.implements
     0.01%  reservation  [kernel.kallsyms]  [k] hrtick_update
     0.01%  reservation  [kernel.kallsyms]  [k] timespec64_add_safe
     0.01%  reservation  reservation        [.] internal/bytealg.IndexByte.abi0
     0.01%  reservation  reservation        [.] context.(*cancelCtx).Done.dwrap.1
     0.01%  reservation  [kernel.kallsyms]  [k] wake_up_process
     0.01%  reservation  reservation        [.] github.com/rs/zerolog/internal/json.Encoder.AppendTime
     0.01%  reservation  reservation        [.] runtime.goready.func1
     0.01%  reservation  reservation        [.] fmt.Fprintf
     0.01%  reservation  reservation        [.] runtime.typeBitsBulkBarrier
     0.01%  reservation  reservation        [.] runtime.notewakeup
     0.01%  reservation  reservation        [.] encoding/json.(*scanner).pushParseState
     0.01%  reservation  [kernel.kallsyms]  [k] ns_to_timespec64
     0.01%  reservation  reservation        [.] strconv.FormatInt
     0.01%  reservation  [kernel.kallsyms]  [k] inet_sendmsg
     0.01%  reservation  [kernel.kallsyms]  [k] __accumulate_pelt_segments
     0.01%  reservation  reservation        [.] runtime.deferreturn
     0.01%  reservation  reservation        [.] runtime.semrelease1
     0.01%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*Span).Context
     0.01%  reservation  [kernel.kallsyms]  [k] minmax_subwin_update
     0.01%  reservation  reservation        [.] runtime.memclrHasPointers
     0.01%  reservation  reservation        [.] sync.(*poolChain).popTail
     0.01%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders.func1
     0.01%  reservation  [kernel.kallsyms]  [k] restore_nameidata
     0.01%  reservation  reservation        [.] gopkg.in/mgo.v2/bson.(*decoder).readElemTo
     0.01%  reservation  [kernel.kallsyms]  [k] inet_send_prepare
     0.01%  reservation  [kernel.kallsyms]  [k] ovl_getattr
     0.01%  reservation  reservation        [.] reflect.(*rtype).uncommon
     0.01%  reservation  [kernel.kallsyms]  [k] ksize
     0.01%  reservation  [kernel.kallsyms]  [k] handle_edge_irq
     0.01%  reservation  [kernel.kallsyms]  [k] tcp_mstamp_refresh
     0.01%  reservation  [kernel.kallsyms]  [k] security_inode_permission
     0.01%  reservation  reservation        [.] encoding/json.(*Decoder).refill
     0.01%  reservation  reservation        [.] runtime.entersyscall.abi0
     0.01%  reservation  [kernel.kallsyms]  [k] skb_free_head
     0.01%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).handlePing.func1
     0.01%  reservation  [kernel.kallsyms]  [k] nbp_switchdev_allowed_egress
     0.01%  reservation  [kernel.kallsyms]  [k] task_ctx_sched_out
     0.01%  reservation  reservation        [.] reflect.convertOp
     0.01%  reservation  reservation        [.] fmt.(*pp).fmtInteger
     0.01%  reservation  reservation        [.] runtime.(*pallocData).allocRange
     0.01%  reservation  reservation        [.] sync/atomic.CompareAndSwapUintptr
     0.01%  reservation  reservation        [.] github.com/opentracing/opentracing-go.SpanFromContext
     0.01%  reservation  reservation        [.] runtime.growWork_faststr
     0.01%  reservation  [kernel.kallsyms]  [k] hrtimer_sleeper_start_expires
     0.01%  reservation  reservation        [.] runtime.callers
     0.01%  reservation  [kernel.kallsyms]  [k] tcp_init_cwnd
     0.01%  reservation  [kernel.kallsyms]  [k] __x86_indirect_thunk_rcx
     0.01%  reservation  reservation        [.] context.removeChild
     0.01%  reservation  [kernel.kallsyms]  [k] validate_xmit_xfrm
     0.01%  reservation  reservation        [.] runtime.procyield.abi0
     0.01%  reservation  [kernel.kallsyms]  [k] terminate_walk
     0.01%  reservation  [kernel.kallsyms]  [k] tcp_rbtree_insert
     0.01%  reservation  reservation        [.] github.com/rs/zerolog.Level.String
     0.01%  reservation  [kernel.kallsyms]  [k] idle_cpu
     0.00%  reservation  reservation        [.] runtime.(*hmap).newoverflow
     0.00%  reservation  [kernel.kallsyms]  [k] __run_timers.part.0
     0.00%  reservation  reservation        [.] runtime.greyobject
     0.00%  reservation  reservation        [.] runtime.mapaccess1_fast32
     0.00%  reservation  reservation        [.] runtime.(*mheap).freeSpan.func1
     0.00%  reservation  reservation        [.] encoding/json.(*Decoder).Decode
     0.00%  reservation  [kernel.kallsyms]  [k] update_rt_rq_load_avg
     0.00%  reservation  [kernel.kallsyms]  [k] copyin
     0.00%  reservation  reservation        [.] runtime.(*mheap).setSpans
     0.00%  reservation  reservation        [.] runtime.selparkcommit
     0.00%  reservation  reservation        [.] github.com/golang/protobuf/proto.(*Buffer).DecodeVarint
     0.00%  reservation  reservation        [.] runtime.ifaceeq
     0.00%  reservation  [kernel.kallsyms]  [k] ovl_inode_upper
     0.00%  reservation  [kernel.kallsyms]  [k] set_task_rq_fair
     0.00%  reservation  [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.00%  reservation  [kernel.kallsyms]  [k] PageHuge
     0.00%  reservation  [kernel.kallsyms]  [k] path_lookupat.isra.0
     0.00%  reservation  [kernel.kallsyms]  [k] __release_sock
     0.00%  reservation  reservation        [.] runtime.pcdatavalue1
     0.00%  reservation  reservation        [.] net.(*conn).SetDeadline
     0.00%  reservation  reservation        [.] google.golang.org/grpc/transport.encodeGrpcMessage
     0.00%  reservation  reservation        [.] runtime.fastrand
     0.00%  reservation  reservation        [.] reflect.(*rtype).exportedMethods
     0.00%  reservation  reservation        [.] gopkg.in/mgo%2ev2.(*queryOp).finalQuery
     0.00%  reservation  [kernel.kallsyms]  [k] netif_rx
     0.00%  reservation  [kernel.kallsyms]  [k] vfs_getattr
     0.00%  reservation  reservation        [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1.dwrap.2
     0.00%  reservation  [kernel.kallsyms]  [k] __mark_inode_dirty
     0.00%  reservation  [kernel.kallsyms]  [k] wake_q_add_safe
     0.00%  reservation  [kernel.kallsyms]  [k] perf_event_task_tick
     0.00%  reservation  reservation        [.] runtime.recvDirect
     0.00%  reservation  [kernel.kallsyms]  [k] complete_walk
     0.00%  reservation  [kernel.kallsyms]  [k] hrtimer_reprogram
     0.00%  reservation  reservation        [.] google.golang.org/grpc/transport.(*transportReader).Read
     0.00%  reservation  [kernel.kallsyms]  [k] lockref_get_not_dead
     0.00%  reservation  reservation        [.] gopkg.in/mgo%2ev2.fill
     0.00%  reservation  [kernel.kallsyms]  [k] ktime_get_coarse_real_ts64
     0.00%  reservation  [kernel.kallsyms]  [k] ip_frag_queue
     0.00%  reservation  reservation        [.] sync/atomic.(*Value).Store
     0.00%  reservation  reservation        [.] gopkg.in/mgo%2ev2.(*Collection).writeOpCommand
     0.00%  reservation  reservation        [.] runtime.stackcacherelease
     0.00%  reservation  reservation        [.] runtime.selectnbrecv
     0.00%  reservation  [kernel.kallsyms]  [k] trigger_dyntick_cpu.isra.0
     0.00%  reservation  reservation        [.] golang.org/x/net/http2.(*FrameHeader).invalidate
     0.00%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*udpSender).calcSizeOfSerializedThrift
     0.00%  reservation  reservation        [.] github.com/uber/jaeger-client-go.BuildJaegerThrift
     0.00%  reservation  reservation        [.] time.Since
     0.00%  reservation  reservation        [.] runtime.(*pageAlloc).update
     0.00%  reservation  reservation        [.] reflect.(*rtype).Key
     0.00%  reservation  reservation        [.] reflect.directlyAssignable
     0.00%  reservation  [kernel.kallsyms]  [k] current_time
     0.00%  reservation  reservation        [.] runtime.findObject
     0.00%  reservation  reservation        [.] github.com/rs/zerolog.consoleDefaultFormatTimestamp
     0.00%  reservation  reservation        [.] runtime.hashGrow
     0.00%  reservation  reservation        [.] time.Time.Clock
     0.00%  reservation  [kernel.kallsyms]  [k] set_user_sigmask
     0.00%  reservation  [kernel.kallsyms]  [k] sk_forced_mem_schedule
     0.00%  reservation  [kernel.kallsyms]  [k] page_fault
     0.00%  reservation  [kernel.kallsyms]  [k] user_path_at_empty
     0.00%  reservation  reservation        [.] github.com/apache/thrift/lib/go/thrift.(*TCompactProtocol).writeVarint64
     0.00%  reservation  [kernel.kallsyms]  [k] x2apic_send_IPI
     0.00%  reservation  reservation        [.] runtime.(*pageAlloc).find
     0.00%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).adjustWindow.dwrap.19
     0.00%  reservation  [kernel.kallsyms]  [k] get_timespec64
     0.00%  reservation  reservation        [.] runtime.bgsweep
     0.00%  reservation  reservation        [.] runtime.(*pageCache).alloc
     0.00%  reservation  [kernel.kallsyms]  [k] tcp_grow_window.isra.0
     0.00%  reservation  [kernel.kallsyms]  [k] netdev_core_pick_tx
     0.00%  reservation  [kernel.kallsyms]  [k] ktime_get_seconds
     0.00%  reservation  reservation        [.] gopkg.in/mgo%2ev2.(*Session).Refresh
     0.00%  reservation  [kernel.kallsyms]  [k] minmax_running_min
     0.00%  reservation  reservation        [.] reflect.Value.Field
     0.00%  reservation  [kernel.kallsyms]  [k] enqueue_timer
     0.00%  reservation  [kernel.kallsyms]  [k] from_kuid_munged
     0.00%  reservation  reservation        [.] time.Time.Sub
     0.00%  reservation  reservation        [.] reflect.typedmemmove
     0.00%  reservation  [kernel.kallsyms]  [k] call_function_single_interrupt
     0.00%  reservation  [kernel.kallsyms]  [k] __x64_sys_newfstatat
     0.00%  reservation  reservation        [.] github.com/rs/zerolog.consoleDefaultFormatCaller.func1
     0.00%  reservation  [kernel.kallsyms]  [k] irq_work_tick
     0.00%  reservation  reservation        [.] gopkg.in/mgo%2ev2.(*mongoSocket).SimpleQuery.func1
     0.00%  reservation  reservation        [.] golang.org/x/net/http2.(*WindowUpdateFrame).invalidate
     0.00%  reservation  reservation        [.] bufio.(*ReadWriter).Write
